,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
2112,28.626863,23.0,42.528877,41.0,0.42360553,0.45,6.0049577,5.85,10.476909,7.64,486.4304,488.4,2.6696963,1.39,457.25433,457.9
1364,40.997505,41.7,30.513098,31.96,0.90037054,1.23,10.754349,10.16,11.638831,12.03,330.99005,331.6,3.2076654,3.45,270.46442,269.5
1934,35.78463,37.0,34.407974,35.15,0.6712498,0.92,9.444686,8.86,11.026449,11.11,390.70224,395.0,2.0561674,2.19,364.41766,367.1
1796,52.75714,53.2,20.739902,17.0,2.2627845,2.4,6.681567,7.86,9.991403,9.99,355.01416,353.5,4.5066633,4.63,337.53992,333.8
565,42.183407,42.6,28.188005,27.16,2.5328774,1.51,9.672714,9.0,10.201004,10.63,304.4569,303.0,4.511169,3.51,216.26508,215.5
1893,46.543163,48.1,26.078148,27.03,1.6358237,1.57,9.287287,9.67,11.406226,11.96,354.85553,355.8,3.116986,3.04,333.884,333.3
1273,64.67996,65.6,17.830175,18.77,2.7297912,2.99,11.4861765,11.44,13.350052,13.51,295.3333,296.6,5.3671722,5.07,241.37584,241.4
1212,62.477207,62.5,16.768703,15.28,2.5361679,3.07,9.257532,9.54,11.309797,11.34,302.66913,306.7,5.477581,5.77,257.5746,254.9
1555,41.36487,41.3,31.693014,33.12,0.8295878,1.15,11.047348,9.93,11.573134,12.2,349.02084,350.3,2.7574825,2.77,300.2379,299.6
1655,63.912407,61.7,18.491316,20.55,2.5594044,2.57,11.145419,10.54,12.348977,12.98,319.44647,324.6,4.4441156,3.86,292.81628,299.4
2065,55.144855,56.7,21.61319,22.0,2.5709822,2.25,9.792496,9.99,12.83789,12.32,345.45486,348.4,3.909127,3.5,328.2211,333.2
1423,76.44218,74.1,13.580276,14.37,3.5043278,3.72,12.12187,11.23,14.068261,13.55,303.6983,303.8,5.916924,4.93,265.63348,264.7
2081,35.901306,39.6,29.200844,30.0,1.4338206,1.17,6.3126783,8.48,10.776235,10.53,383.25052,384.8,3.101908,2.45,363.4135,366.7
2100,41.993988,44.9,28.004831,29.0,1.7914118,1.4,8.354995,9.17,12.23795,11.47,374.40536,374.5,3.1107988,2.69,354.76642,357.4
551,41.274174,40.6,28.55661,27.41,2.4003153,1.39,9.182055,8.75,9.782872,10.19,308.9342,306.1,4.5649004,3.09,220.45772,221.4
1659,64.33585,61.7,18.548182,20.54,2.5869682,2.57,11.424552,10.52,12.55065,12.97,319.45407,324.4,4.3832636,3.92,293.54266,299.3
1537,39.047634,40.0,32.45833,33.28,0.59418994,1.1,10.245877,9.7,11.005648,11.82,353.9924,352.4,2.803895,2.69,303.17517,301.3
