,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1111,51.56116,51.1,23.367083,23.84,1.7802911,1.99,10.410536,10.64,12.320525,12.07,298.77933,299.5,4.80611,4.65,228.62141,231.3
2088,38.14882,42.7,28.404379,29.0,1.6513594,1.3,6.9356365,8.85,11.544161,11.06,379.5501,378.8,3.1626668,2.6,360.4595,361.6
1843,56.40564,56.8,20.78285,20.94,2.2622707,2.29,9.170261,9.77,11.247918,12.1,341.24017,340.3,4.0811152,3.8,322.60312,318.9
711,50.326336,46.9,23.395952,23.04,2.3426764,1.82,9.621665,9.49,11.222021,10.6,296.65372,295.5,5.157308,4.13,218.6886,219.1
1169,40.167652,39.5,29.925531,31.45,0.9175143,1.19,10.393584,9.86,11.567062,11.23,319.4308,321.4,3.5494,3.64,249.64883,250.6
1528,35.963135,36.7,33.16574,33.69,0.34350795,0.99,9.030579,9.0,9.884716,10.93,360.73288,360.0,2.8068585,2.57,310.48807,308.0
2014,67.45406,66.9,15.40992,17.0,3.5556903,3.14,9.802058,10.17,13.787104,12.56,336.21133,338.9,5.1526256,4.3,322.91336,325.6
1927,34.289036,36.3,35.036716,35.25,0.5528032,0.9,8.890982,8.72,10.6089735,10.95,396.44275,397.4,2.07367,2.14,369.80222,366.9
910,51.39213,51.9,22.966398,22.5,2.2231762,2.17,9.972927,10.41,11.732969,11.77,294.60782,293.5,5.105604,5.12,218.65042,217.4
1302,51.234272,51.4,23.772049,25.03,1.6679386,1.91,10.1807375,10.51,11.818969,12.36,311.68042,311.0,4.393516,4.35,254.20087,255.3
1141,38.254936,39.0,30.641129,31.08,0.6688758,1.18,9.361868,9.61,11.027946,11.1,325.26758,322.7,3.852586,3.69,249.29475,248.2
724,51.40158,49.1,23.31937,22.78,2.7403276,1.98,10.133246,9.94,11.472347,11.03,293.9714,291.1,5.1923094,4.44,213.77382,210.3
1085,61.61127,61.1,18.500982,18.61,2.5952928,2.85,11.181902,10.93,13.101592,12.34,287.95532,292.0,5.3861017,5.24,226.48683,229.7
706,49.807777,46.5,23.388927,23.38,2.6735523,1.8,9.324573,9.55,10.671098,10.57,295.80054,294.0,5.262137,4.31,215.46411,213.5
1506,52.555504,51.3,24.480402,25.87,1.7214575,1.81,11.034301,10.46,12.092708,12.62,324.6224,323.6,3.8064575,3.59,281.09424,280.8
2141,34.03029,33.1,36.925205,36.97,0.9367758,0.78,8.854402,8.13,12.272822,10.29,423.64163,426.0,2.259649,1.73,397.9893,403.0
1330,35.077545,35.6,31.96332,33.67,0.36706167,0.95,8.471143,9.11,9.792092,10.6,342.2478,341.9,3.3317196,3.24,278.94995,274.1
2076,32.589428,35.1,31.537785,31.0,1.1358141,0.98,5.4398394,7.55,9.933924,9.5,400.88873,399.9,3.045115,2.37,379.4261,380.7
1494,48.776054,48.2,25.025406,26.14,1.4301922,1.68,9.732219,9.93,10.958932,11.91,327.21793,328.0,3.794945,3.52,283.23203,285.1
1680,39.461018,39.1,30.069199,27.46,0.6283649,1.23,7.9046154,7.76,8.503124,9.81,366.19086,367.2,2.8475964,2.86,335.49985,336.4
1069,61.917374,61.4,18.303696,18.01,2.638699,2.87,10.746467,10.91,12.946481,12.39,289.48898,291.1,5.7133455,5.4,224.17438,225.1
1887,44.37042,46.3,26.831053,27.17,1.4607235,1.49,8.555774,9.31,10.747046,11.55,360.46106,359.9,3.1115515,2.97,338.99112,337.5
1722,34.62675,32.7,36.087994,34.89,0.09635073,0.8,8.735814,7.73,9.073468,9.81,396.36804,396.9,2.234365,2.1,360.38455,360.4
2122,29.556334,30.1,38.415714,38.97,0.63368094,0.68,7.357955,7.68,11.247238,9.64,436.08847,436.2,2.2638211,1.65,409.8381,409.0
1488,44.66684,44.1,26.626228,26.56,1.1110872,1.49,8.738223,9.15,9.937568,10.98,335.96082,335.1,3.657974,3.46,291.4262,291.1
1683,43.32985,43.1,28.301697,26.9,0.94185805,1.4,8.661223,8.61,9.392516,10.72,356.05295,355.8,3.090312,2.95,324.1763,326.5
1999,59.251778,58.6,17.137684,18.0,3.081481,2.63,7.524445,9.2,12.08011,11.36,344.29886,347.0,4.9942737,4.27,330.62982,333.0
867,58.449097,58.3,19.245398,17.05,2.3639405,2.81,9.939776,9.93,12.2613325,11.36,290.93732,291.6,5.6820536,5.55,222.57446,221.2
747,40.583176,36.1,28.720823,30.11,1.5950426,1.07,9.127717,8.93,10.302023,9.88,312.0457,311.2,4.3892965,3.38,228.7332,227.9
1734,38.10138,38.1,33.753326,34.04,0.43857804,0.98,10.240752,9.0,10.456316,11.32,373.73633,377.8,2.1225066,2.29,339.65863,343.4
2130,30.37048,32.2,37.52189,37.0,0.7951033,0.74,7.5930076,7.86,11.697646,10.01,429.82645,430.4,2.287671,1.74,404.56027,407.0
1132,33.66268,35.6,31.934286,31.74,0.296054,1.03,8.037151,8.57,9.644826,10.2,334.77063,334.4,3.6257772,3.28,262.36624,260.4
1126,51.375664,51.4,23.561522,23.72,1.8209252,2.01,10.755386,10.7,12.38438,12.16,298.25455,299.6,4.5912538,4.54,230.86746,233.0
1671,63.70206,62.6,19.191072,20.39,2.564518,2.59,11.827016,10.68,12.767232,13.2,318.93845,323.2,4.227824,3.94,292.24655,297.9
954,41.042877,40.4,28.786318,29.64,0.9958168,1.33,9.742551,9.76,11.442595,10.91,312.251,310.6,4.1463137,4.37,233.5079,231.6
2120,28.919655,28.9,38.79006,39.0,0.58911407,0.63,6.919029,7.35,10.973794,9.28,441.83844,443.9,2.3398633,1.6,415.4017,418.8
879,62.137337,62.1,18.393505,17.01,2.7282548,3.08,10.789209,10.68,13.0268,11.92,289.216,289.1,5.842435,5.73,220.9197,219.5
1853,60.816223,60.3,19.161383,20.86,2.6292503,2.46,10.29809,10.32,12.430244,12.73,332.95096,336.1,4.2049556,3.82,315.4693,317.2
1740,39.52914,38.8,33.46726,33.88,0.5594073,1.0,10.791425,9.15,10.949479,11.54,370.99625,376.1,2.1376786,2.33,336.41367,341.9
1600,59.9963,58.7,19.475204,16.31,2.229434,2.75,8.969136,8.67,10.327258,10.83,335.09686,335.2,4.6021457,4.6,309.8198,310.8
1063,61.151997,60.6,18.56651,18.19,2.5351698,2.82,10.358706,10.68,12.6644125,12.22,292.70526,292.7,5.7386036,5.33,227.27826,227.6
2003,61.265366,61.1,16.34073,18.0,3.2596943,2.79,7.903965,9.43,12.587951,11.68,341.63617,345.6,5.09682,4.28,328.60315,333.9
1450,58.610985,58.5,19.553707,20.09,2.2175841,2.5,9.798432,10.26,11.491132,12.3,311.90256,314.1,4.80735,4.3,269.45486,272.3
1750,41.54315,39.6,32.955853,34.46,0.7522697,1.03,11.333302,9.48,11.450187,11.9,367.66956,372.9,2.262458,2.3,331.42065,337.8
967,43.689373,43.2,27.562021,28.99,1.4419771,1.48,10.249942,10.49,11.710763,11.54,305.14395,305.5,4.2801113,4.74,226.0474,223.6
1884,43.209446,44.8,27.52141,27.26,1.3451622,1.43,8.203718,9.02,10.359729,11.22,365.5511,363.3,3.0998416,2.95,343.52786,340.2
1337,37.381447,38.6,31.320917,32.79,0.5496696,1.08,9.331174,9.65,10.599038,11.28,336.69373,336.4,3.3274817,3.34,273.28967,272.9
1303,52.895134,52.7,23.412893,24.71,1.803137,1.96,10.57632,10.89,12.286954,12.77,309.0323,307.8,4.57038,4.36,248.43193,248.4
971,43.16314,42.7,27.78145,29.1,1.1959431,1.46,10.276578,10.33,11.865803,11.38,306.10336,307.1,4.183725,4.61,228.52411,228.1
1074,62.487064,60.0,18.317554,18.74,2.6022887,2.77,10.990854,10.74,13.073976,12.09,291.8379,293.3,5.5285506,5.3,230.70242,231.4
751,42.4661,38.3,28.12951,29.77,2.189875,1.2,9.556421,9.39,10.405217,10.37,307.682,306.2,4.514097,3.65,221.77792,221.3
1949,40.329338,37.7,34.152008,35.03,0.84797496,0.94,10.797752,9.03,11.7112,11.28,390.42612,392.5,2.10586,2.19,363.42358,365.1
892,63.05393,65.2,17.790699,16.58,2.9648807,3.31,10.981307,11.28,13.200337,12.47,284.32806,285.9,5.9457135,5.99,214.55933,211.4
1751,41.48936,39.3,33.106052,34.56,0.7345516,1.02,11.335839,9.36,11.444954,11.78,369.1255,374.1,2.243358,2.3,333.18277,339.8
2025,66.13729,68.0,16.354538,17.0,3.4756548,3.21,9.990709,10.08,13.9228735,12.57,338.68918,340.4,4.982353,4.44,324.9396,329.4
1117,51.534523,51.3,23.375246,23.76,1.8048973,2.0,10.565592,10.69,12.362355,12.13,297.84824,299.4,4.721852,4.6,228.73909,232.0
1254,56.507164,57.0,19.918356,19.43,2.0875335,2.47,9.371711,10.06,11.292465,11.83,305.522,305.8,5.0101004,5.08,254.10764,252.4
1879,40.66232,42.9,28.291079,28.31,1.1376787,1.36,7.6823335,8.74,9.697329,10.91,367.15652,366.3,2.9832501,2.86,344.53815,339.6
1745,40.454273,39.2,33.0343,34.61,0.6626767,1.02,11.069084,9.33,11.19261,11.75,367.40714,374.5,2.1777303,2.29,332.38403,340.2
1417,74.700745,72.1,13.641768,14.48,3.3881848,3.61,11.530925,10.98,13.543529,13.19,303.2327,305.2,5.8903337,4.95,265.47534,265.7
1798,60.202484,60.0,18.542358,17.0,2.5709398,2.79,8.438974,8.94,10.861728,11.19,341.8552,340.1,4.6734014,4.71,324.46243,317.4
1058,57.33824,57.2,19.719797,18.55,2.1653442,2.61,9.579159,10.01,11.8570385,11.55,297.75253,297.6,5.440582,5.12,234.7787,235.8
891,62.663616,63.4,18.360256,16.8,2.788717,3.19,11.124004,10.89,13.20679,12.1,288.224,288.7,5.753951,5.78,221.00659,218.9
1283,63.37146,65.8,18.284384,18.91,2.6628714,3.03,11.569175,11.34,13.202904,13.45,295.40097,298.0,5.109469,5.01,244.10886,246.2
1834,44.65728,44.7,25.708141,23.0,1.4719893,1.68,6.7259808,7.69,9.186512,9.8,367.63593,366.8,3.6632473,3.32,346.51617,351.1
823,66.32903,66.4,16.171015,12.38,3.0584788,3.63,10.121525,9.86,12.726462,11.41,290.6294,290.7,6.527344,6.12,222.59236,218.1
1519,52.06229,53.4,24.498001,25.64,1.7602787,1.92,11.2879095,10.81,12.1876545,13.13,319.64603,321.1,3.7254987,3.59,275.07205,277.1
1549,40.59875,41.2,31.770483,33.14,0.7645951,1.15,10.857278,9.91,11.4344,12.16,348.44684,350.4,2.7392807,2.78,299.40588,299.5
1415,72.41478,69.6,14.352762,14.66,3.2141697,3.45,11.082873,10.63,13.055304,12.73,305.96317,307.9,5.741869,4.91,268.98874,270.6
763,43.67448,38.9,28.033728,29.25,2.1407056,1.23,10.012394,9.52,10.953862,10.51,307.77045,305.0,4.495984,3.66,222.55861,220.2
1311,52.248608,53.4,23.720133,24.21,1.7686758,2.02,10.780437,10.77,12.251347,12.75,309.92215,309.1,4.2982683,4.43,253.29924,252.9
555,41.11742,41.1,28.414131,26.86,2.2291925,1.43,9.287892,8.78,9.992555,10.21,306.9984,305.3,4.4742484,3.25,220.16385,220.3
2001,58.973557,58.7,17.57537,18.0,3.075957,2.64,7.4392886,9.01,12.143038,11.23,348.96487,349.6,5.0095615,4.34,335.15582,338.0
1954,61.992126,59.1,15.980231,14.0,3.325765,2.96,6.6809993,8.17,11.748561,10.31,353.25626,354.5,5.544816,5.06,340.34262,341.7
1897,49.519978,50.0,25.904371,26.92,1.6943438,1.66,10.424583,10.08,11.785072,12.44,350.779,351.9,3.0507061,3.03,329.03308,328.0
1724,35.447533,35.1,34.809036,34.5,0.21353135,0.89,9.073302,8.34,9.428202,10.49,383.7895,387.4,2.2325006,2.12,347.9852,352.2
2024,66.86245,68.0,16.23018,17.0,3.4665742,3.21,10.227628,10.18,13.881662,12.64,336.72314,339.5,4.9670377,4.34,322.7004,328.1
1874,33.839233,35.1,32.08456,28.8,0.72725475,1.04,5.9027967,7.07,8.613225,9.08,397.0282,394.1,2.900393,2.51,372.71515,369.5
1357,40.52642,41.6,30.262785,32.56,0.87462515,1.22,10.568679,10.27,11.558886,12.09,327.32193,330.3,3.2759213,3.49,265.027,265.2
899,44.11029,45.1,25.155712,23.6,1.1983491,1.75,8.539145,9.02,10.639818,10.46,303.05356,302.4,4.6668444,4.47,229.79596,227.6
1332,34.400993,35.2,32.13967,33.21,0.31908485,0.94,8.387493,8.9,9.613614,10.4,343.3547,344.0,3.2091992,3.26,282.14914,279.0
975,43.071598,42.1,28.11656,29.22,1.1792264,1.42,10.375552,10.15,11.861521,11.21,309.37274,308.1,4.077549,4.59,233.75122,229.6
1535,37.55407,38.7,32.70385,33.47,0.47826573,1.05,9.816702,9.43,10.560104,11.45,355.5358,355.4,2.710907,2.63,306.2903,305.9
1062,59.238804,57.8,19.068491,18.41,2.312308,2.63,10.012934,10.18,12.233441,11.64,295.66766,296.4,5.4606977,5.22,234.37437,234.5
1340,37.987568,39.6,31.24251,32.75,0.60515654,1.13,9.666219,9.83,10.894402,11.52,334.73764,334.7,3.3159087,3.38,270.73737,271.7
1251,52.615677,53.2,20.903156,19.76,1.8129292,2.24,8.616316,9.43,10.422015,11.14,308.09912,310.3,4.7467194,5.04,258.48605,256.4
861,53.74672,53.6,20.642214,18.25,1.9237072,2.48,9.102052,9.15,11.40929,10.59,294.50174,295.6,5.348769,5.28,227.19786,224.0
1532,36.92584,37.7,32.912342,33.59,0.41785285,1.02,9.465318,9.22,10.2585125,11.18,358.40915,357.6,2.7499301,2.59,309.04163,308.0
1502,52.991814,51.7,24.257673,25.82,1.7488229,1.84,10.934433,10.53,12.114808,12.71,324.05905,323.4,3.944606,3.54,278.77737,280.6
1447,56.13186,55.8,20.600428,20.32,2.0180614,2.36,9.288487,9.82,10.939669,11.79,317.38428,317.4,4.6806765,4.29,275.03314,275.4
1846,58.36224,58.6,19.920982,20.91,2.411188,2.38,9.63239,10.07,11.692841,12.44,336.2193,337.8,4.136658,3.81,318.112,316.7
2070,29.087744,27.5,35.587475,33.0,0.9227475,0.69,3.9716861,5.94,9.412524,7.77,444.25528,438.8,3.2547972,2.02,420.8284,415.9
951,39.823803,39.8,29.150774,29.84,0.9166248,1.3,9.51869,9.58,11.204503,10.8,313.06635,312.0,4.086637,4.25,234.13048,233.1
2093,40.148174,44.1,27.87349,29.0,1.7423722,1.37,7.714339,9.15,11.918866,11.38,373.3268,375.4,3.116663,2.57,354.1953,358.4
1103,50.20271,49.3,23.589746,24.15,1.638941,1.88,9.790782,10.22,11.798435,11.66,302.53873,303.3,4.7913303,4.46,233.84746,238.6
2028,65.88321,68.0,16.745817,17.0,3.4210548,3.21,10.15843,10.09,13.904034,12.57,339.14017,340.3,4.902161,4.45,324.97528,328.9
2033,40.17202,41.6,25.470001,24.0,1.8206601,1.46,5.038541,7.65,9.90787,9.64,376.26987,376.3,3.875281,3.23,358.59854,359.5
1148,39.125877,39.0,30.27207,31.65,0.76592004,1.17,9.796571,9.73,11.331879,11.09,321.69644,322.5,3.7707853,3.63,247.15163,251.9
2123,29.365309,30.2,38.22212,37.99,0.66055125,0.68,7.185678,7.61,11.236977,9.62,435.83655,437.6,2.3019638,1.63,409.9001,413.5
2097,41.036133,44.6,27.928051,29.0,1.7710973,1.38,8.015171,9.12,12.097482,11.41,373.98322,375.3,3.117865,2.66,354.64902,358.9
1481,63.331512,64.1,18.975784,19.71,2.6094177,2.78,11.799749,11.11,13.049935,13.43,307.17203,308.9,4.647166,4.28,267.2796,269.9
1543,40.36817,40.8,32.160057,33.19,0.71083814,1.13,10.719857,9.85,11.39646,12.06,351.9993,351.0,2.794446,2.73,301.6373,300.1
1667,64.028915,63.0,18.724966,20.34,2.6004758,2.62,11.745659,10.78,12.73706,13.32,316.34827,322.6,4.290943,3.89,289.63278,297.3
1664,64.4814,62.9,18.627892,20.37,2.6206703,2.62,11.7184515,10.76,12.762368,13.29,317.4633,322.8,4.346713,3.9,290.71942,297.4
1654,64.32558,62.3,18.399775,20.48,2.5930543,2.61,11.190515,10.67,12.438093,13.13,319.07376,323.4,4.516902,3.88,291.3067,297.0
1256,59.073856,59.6,18.859646,19.14,2.2951672,2.62,9.854844,10.55,11.884,12.37,299.40524,302.5,5.213478,4.99,246.09738,249.3
1100,48.137363,48.4,23.875504,24.28,1.493004,1.84,9.3090515,9.98,11.301403,11.46,302.4572,304.8,4.67253,4.43,234.88036,239.4
2073,30.596735,32.1,33.20942,31.0,0.99209785,0.86,4.828027,6.93,9.562885,8.83,415.99442,412.3,3.0608053,2.24,393.6085,391.4
735,50.60491,48.3,23.668322,23.07,2.1297026,1.92,10.365136,9.72,12.008993,10.87,294.31348,293.8,4.9079485,4.2,217.91129,217.9
1514,52.069244,52.6,24.22005,25.75,1.7436076,1.88,11.153234,10.67,12.085207,12.93,319.13895,322.4,3.7117589,3.56,276.08704,279.8
884,63.11463,63.8,17.926315,16.78,2.8957546,3.21,10.903064,11.0,13.166669,12.22,286.96362,288.0,5.956327,5.75,217.71326,217.8
1695,50.7812,49.8,25.34329,26.08,1.5199693,1.68,10.554151,9.93,11.257833,12.29,339.9032,341.8,3.2615573,3.13,310.77203,313.1
1650,60.100014,58.5,19.915232,20.84,2.2594187,2.41,10.289865,10.0,11.491295,12.28,326.38385,328.5,4.291389,3.88,299.30878,303.3
1307,53.017673,53.2,23.554419,24.86,1.8123287,2.0,10.760213,10.84,12.367883,12.78,310.06686,308.9,4.4724197,4.31,250.9981,253.1
1338,36.803585,38.4,31.522745,32.17,0.5031117,1.08,9.278973,9.55,10.481201,11.18,337.77216,336.7,3.2291903,3.43,275.80646,273.0
1869,61.760906,61.2,20.02395,20.8,2.5920582,2.49,11.324763,10.46,12.806292,12.86,332.97955,334.7,3.994189,3.92,314.39722,315.8
576,41.963642,42.6,28.400684,26.86,2.0319085,1.54,9.888039,8.92,10.742364,10.5,305.882,304.1,4.3540254,3.52,220.79562,220.2
2082,36.017704,39.8,29.36886,30.0,1.4382615,1.17,6.305932,8.4,10.809712,10.49,385.56396,385.4,3.1231291,2.51,365.62708,367.6
1556,41.134212,40.7,31.797533,33.25,0.8039223,1.12,11.02791,9.81,11.5231,12.02,349.86865,351.5,2.7067578,2.75,301.9678,302.5
1294,48.835278,48.8,23.979523,25.66,1.5036225,1.75,9.3432665,10.29,11.109535,11.98,311.4771,312.0,4.4319615,4.28,252.71362,251.9
1696,51.997307,51.2,24.788439,26.74,1.6422722,1.75,10.885024,10.28,11.6139555,12.73,335.0797,339.0,3.3589935,3.13,304.35263,309.2
1890,45.634438,47.4,26.378824,27.09,1.5660678,1.54,8.938874,9.52,11.131178,11.8,357.61664,357.5,3.128416,3.01,336.475,335.2
1036,71.69984,71.3,14.6856785,13.38,3.4556355,3.81,11.531346,11.05,13.804807,12.56,287.72247,289.6,6.4463334,5.88,226.6551,226.1
1526,34.381374,34.3,33.946774,34.05,0.2092856,0.9,8.539924,8.45,9.358293,10.27,367.4099,367.3,2.7441728,2.53,318.0297,316.3
1865,62.812042,61.8,19.769247,20.8,2.6228983,2.53,11.469861,10.58,12.833994,13.0,332.5229,333.9,4.0467324,3.87,313.861,315.0
1477,64.199036,65.0,18.770798,19.6,2.6611943,2.84,11.835311,11.24,13.170239,13.62,307.59454,307.8,4.7707596,4.31,266.57877,267.2
1164,39.70581,38.9,29.870852,31.52,0.8662641,1.16,10.219769,9.77,11.438443,11.05,319.02097,321.8,3.5355272,3.73,249.69177,250.7
2117,28.72542,27.3,39.61944,39.0,0.5290594,0.59,6.6750245,7.02,10.764718,8.88,451.26956,452.7,2.4050417,1.55,424.1464,426.6
883,62.93954,64.6,17.631891,16.67,2.9606853,3.26,10.761883,11.17,13.1021805,12.39,284.14795,286.1,6.0318213,5.96,213.66005,211.8
1653,62.105343,60.0,19.14053,20.71,2.41091,2.49,10.727873,10.24,11.921195,12.59,323.02426,326.5,4.34883,3.9,296.89456,301.1
1061,59.276405,58.7,18.827694,18.39,2.335108,2.7,9.956468,10.31,12.242499,11.83,293.03305,295.8,5.538378,5.16,230.20976,234.1
1265,64.27419,64.1,17.734013,18.93,2.6722782,2.91,11.088961,11.14,13.0878105,13.14,296.88123,299.2,5.423007,4.98,243.29686,247.4
2136,32.466335,33.0,37.24202,36.99,0.8798761,0.77,8.31543,8.01,12.074446,10.19,427.09827,427.3,2.2753708,1.78,401.61615,404.5
1862,62.271133,61.6,19.456726,20.81,2.63702,2.52,11.181364,10.54,12.746911,12.96,330.9759,334.2,4.07933,3.86,312.7626,315.2
707,49.67086,46.1,23.42106,23.52,2.4792979,1.77,9.349013,9.45,10.816443,10.49,296.13678,295.6,5.1985116,4.13,217.09714,218.2
1497,50.53018,49.4,24.683994,26.02,1.5535333,1.73,10.195752,10.15,11.399909,12.18,326.50443,326.1,3.8394995,3.55,282.74747,283.3
1261,63.852345,63.2,17.776005,18.82,2.639564,2.84,10.852549,11.15,12.953631,13.08,296.85013,298.2,5.5099344,5.05,241.5077,242.8
908,50.54932,50.4,23.414097,22.78,1.928962,2.07,9.847229,10.08,11.744009,11.46,297.47305,296.1,5.013747,4.92,222.53568,222.9
2011,66.44218,66.1,15.1767645,17.0,3.5506518,3.09,9.344805,10.08,13.598657,12.44,335.44366,339.7,5.1887994,4.28,322.6175,326.7
915,51.85617,51.3,22.928188,22.49,1.8183012,2.13,10.191296,10.34,12.262888,11.56,295.88663,294.9,5.0070925,5.14,222.81885,221.8
2064,53.954395,56.9,21.393623,22.0,2.6491919,2.25,9.133319,9.81,12.930252,12.21,348.41248,350.4,4.0244093,3.63,332.20233,336.9
820,63.329155,63.3,16.94125,12.73,2.7711442,3.39,9.636927,9.39,12.202198,10.92,291.27783,293.6,6.290482,5.84,224.1768,223.5
2098,42.281666,44.6,27.916746,29.0,1.7531154,1.4,8.596971,9.32,12.129167,11.55,370.76712,372.9,3.0426862,2.58,350.81583,353.9
1457,63.24478,61.2,18.146648,19.9,2.5575933,2.63,10.792947,10.7,12.457941,12.83,307.77646,311.6,4.959372,4.25,266.96457,272.4
1157,39.464256,39.3,29.98146,31.49,0.83830655,1.19,10.084925,9.84,11.455159,11.19,318.40182,321.4,3.6614025,3.67,245.69627,250.2
1097,46.532616,47.2,24.627607,24.44,1.3529054,1.78,8.941118,9.67,10.913737,11.19,307.39645,307.0,4.591468,4.37,240.25523,241.1
935,53.37631,54.0,22.067543,22.03,2.045542,2.31,10.674226,10.9,12.573011,12.03,289.53702,292.9,4.973141,5.24,218.01457,220.2
1068,62.04776,59.4,18.496653,18.19,2.5423255,2.73,10.696767,10.56,12.887422,11.96,294.32034,294.3,5.589702,5.26,232.46822,232.8
1852,61.545643,60.9,19.23467,20.85,2.617088,2.5,10.557647,10.45,12.445865,12.88,332.86285,334.5,4.189165,3.86,315.00262,313.2
1419,73.77606,70.1,13.999077,14.63,3.3101964,3.47,11.465875,10.71,13.371341,12.83,305.1849,307.4,5.7177963,4.95,269.86636,270.4
1698,51.657402,50.3,25.227613,26.92,1.590287,1.7,10.899576,10.03,11.568007,12.44,338.71686,341.0,3.2687564,3.14,309.23026,312.5
1693,51.45868,50.7,24.996902,26.83,1.5854406,1.73,10.61189,10.17,11.392634,12.59,337.57455,339.8,3.3805497,3.11,306.7423,309.9
882,62.490833,62.6,18.281322,16.92,2.7655292,3.12,10.892293,10.77,13.09282,11.99,288.71103,288.7,5.8369417,5.81,220.78978,218.1
1420,75.97045,73.3,13.483457,14.41,3.4740336,3.68,11.891104,11.13,13.882217,13.41,303.15155,304.4,5.9290648,4.93,265.21103,265.4
1961,68.818275,67.6,14.555778,13.0,3.6453843,3.5,8.83879,9.17,13.258799,11.44,343.90485,345.5,5.645382,5.05,331.24255,335.0
1490,46.972393,47.0,25.277971,26.24,1.3113238,1.63,9.191297,9.71,10.464065,11.65,327.199,330.1,3.792361,3.45,282.3654,286.9
1479,63.137478,63.1,18.703941,19.79,2.5955632,2.72,11.67678,10.97,12.923415,13.23,305.80835,309.6,4.608531,4.33,267.47214,270.5
1933,36.0402,37.4,34.435234,35.1,0.6670591,0.94,9.566188,8.97,11.045273,11.23,390.3582,393.4,2.0417635,2.2,363.93677,363.4
1160,39.547817,39.4,29.95767,31.47,0.8544629,1.19,10.15368,9.85,11.4717865,11.21,318.2358,321.4,3.6280699,3.66,246.21022,250.2
1952,54.756435,52.3,18.662493,15.0,3.0049846,2.54,5.0091925,7.12,10.948804,9.22,371.02795,368.6,5.383179,5.16,357.64056,355.0
1324,52.137276,54.2,23.626574,24.72,1.8343626,2.05,11.066053,11.1,12.354188,13.07,305.68887,306.5,4.2126265,4.36,249.06573,248.1
2132,31.24026,32.5,37.282497,37.98,0.8211554,0.76,8.013064,8.02,11.841847,10.14,425.83966,428.5,2.2366314,1.7,400.47424,405.4
1268,64.54225,64.7,17.755392,18.91,2.6993399,2.95,11.275665,11.22,13.214798,13.26,296.47485,298.8,5.389738,5.0,243.1102,246.7
1055,53.766247,54.7,20.67505,18.83,1.903917,2.46,8.925539,9.49,11.109875,11.07,300.1214,300.9,5.1993275,5.08,238.52773,238.2
1900,49.73112,50.3,25.871365,26.89,1.7014413,1.67,10.589832,10.13,11.82987,12.49,349.3063,351.2,3.0194619,3.06,327.49667,326.7
1059,57.152157,56.3,19.921322,18.58,2.1441355,2.55,9.604195,9.87,11.811908,11.37,299.69574,298.4,5.361887,5.17,238.20009,236.4
670,59.41271,57.0,19.039793,17.37,3.268205,2.7,9.88938,9.83,11.789189,11.0,288.6507,288.3,6.082959,4.96,212.32997,211.1
1707,51.384335,50.9,25.090237,26.76,1.6190281,1.72,11.185741,10.16,11.7201,12.63,333.3938,339.8,3.166607,3.17,303.84192,311.1
2053,54.21671,55.8,20.794167,22.0,2.6845891,2.2,8.8053255,9.87,12.760289,12.18,347.0536,349.4,4.136025,3.49,331.27103,333.8
1070,61.93629,60.6,18.265219,18.08,2.6083086,2.81,10.762488,10.79,12.930974,12.21,290.0263,292.9,5.6354957,5.23,226.5241,231.0
575,41.921185,42.7,28.267649,26.72,2.2147639,1.53,9.845995,8.97,10.557696,10.58,304.07498,303.9,4.3785477,3.5,218.07602,219.4
1866,61.80122,61.1,19.885754,20.81,2.611013,2.49,11.20591,10.45,12.809794,12.84,333.38937,334.7,4.0368385,3.93,314.9938,315.7
1601,59.49624,58.0,19.473,16.36,2.2023036,2.7,8.895898,8.55,10.210417,10.68,334.253,336.3,4.53624,4.63,309.84793,312.1
864,56.866283,56.5,19.892256,17.28,2.1918607,2.68,9.643036,9.62,11.986908,11.07,293.79318,293.0,5.580933,5.47,225.41495,222.2
777,42.509426,38.4,28.410511,29.57,1.48373,1.19,10.16848,9.32,11.474316,10.35,308.3093,307.5,4.247723,3.48,227.02907,226.2
667,58.81013,55.8,19.20602,17.42,3.172187,2.61,9.694462,9.69,11.619334,10.82,289.80884,288.8,6.0635314,4.97,213.71243,210.6
1360,41.069584,41.6,30.352337,32.56,0.9114609,1.22,10.701375,10.28,11.661124,12.1,329.20563,330.3,3.2892675,3.5,267.06976,265.0
1929,34.279964,35.7,35.107822,35.37,0.56917727,0.87,8.769074,8.53,10.623119,10.72,398.818,399.7,2.1186602,2.16,372.2396,371.6
1741,40.153446,39.5,33.041737,34.54,0.6413414,1.03,10.954102,9.43,11.114614,11.85,367.12183,373.4,2.1956604,2.3,331.63696,338.0
1083,61.946213,60.3,18.359201,18.66,2.5899327,2.78,11.160114,10.82,13.086531,12.15,289.14334,292.7,5.3671503,5.3,229.38225,230.8
1744,40.48213,39.5,32.90234,34.5,0.6779723,1.03,11.065363,9.45,11.204699,11.88,365.88992,373.2,2.2034383,2.3,330.30563,338.0
