,Maximum Pressure(predicted),Crank Angle at Maximum Pressure(predicted),Maximum Rate of Pressure Rise(predicted),BMEP(predicted),IMEP(predicted),BSFC(predicted),BSNOx(predicted),BSCO(predicted)
1560,39.861595,33.678143,1.0411377,9.956722,12.103371,353.55096,2.3414187,306.0942
1559,39.96932,33.789154,0.98762894,10.144787,12.256084,353.07874,2.448464,304.62817
664,55.501377,18.693693,3.0120468,9.948292,10.982376,287.88327,4.816871,211.83618
577,41.630943,27.202265,2.1380844,8.898373,10.822601,300.54404,4.2410293,214.4152
1953,53.856503,15.789553,2.949623,7.259304,8.835011,369.26996,3.9950223,356.89474
714,46.629444,23.345781,2.1383095,9.655338,10.761162,296.0151,4.0003204,219.04909
1602,55.807137,16.35142,2.9639664,8.427464,10.142517,337.18924,4.104684,312.23727
2038,50.643818,22.995516,2.1055565,8.278622,10.780228,358.36856,3.6666696,341.32065
1550,40.272167,33.6164,1.0408707,9.9109535,12.162048,353.2682,2.6492572,304.6867
1838,48.259407,21.573214,2.1585464,7.694851,9.899578,351.27863,3.6171322,331.45108
943,38.79454,30.32802,0.8859978,9.155674,10.999538,313.5531,4.101465,232.18758
550,40.631058,27.748873,2.0148392,8.604855,10.709194,305.3824,4.0675583,219.1926
1868,61.30651,20.580729,2.6196175,10.425549,13.062607,332.7742,3.883369,314.8274
1875,31.451057,29.98826,1.1302185,5.9507484,7.8139577,397.6529,2.1611137,373.27896
1257,59.08382,18.89631,2.389557,9.79575,12.053268,302.4491,4.9916177,249.55167
1711,53.01565,26.628115,2.0804749,10.414028,12.930239,338.67087,3.2589269,306.72357
945,37.64263,30.243189,0.68818665,9.074551,10.759857,317.59766,3.716206,238.94179
1665,62.257877,20.270014,2.8648148,10.847668,13.212568,325.41342,3.921567,298.5089
718,47.37566,23.219763,2.3728485,9.666668,10.897818,290.28006,4.2816415,211.10294
723,47.08443,23.151815,2.2104263,9.798756,10.824772,294.08105,4.03873,216.97691
1545,39.5404,33.500893,1.0570793,9.539188,11.854221,354.8745,2.645279,306.84857
1317,53.127895,25.309137,1.782959,10.287312,12.692295,309.72104,4.0314264,253.40573
760,40.298634,28.36712,1.5992241,9.22327,10.936523,303.40765,4.099149,219.39615
1355,42.046215,32.735535,1.3293304,10.150623,12.544851,332.92145,3.3278213,269.376
1112,50.693325,23.377657,1.5020409,10.046658,11.183617,301.44006,4.643827,234.86026
933,52.86704,21.879503,1.7347641,10.571445,11.589113,293.54288,5.136108,220.80244
