,Loss,Val_Loss,Accuracy,Val_Accuracy
0,0.5573943853378296,0.3430939316749573,0.6954156756401062,0.8391608595848083
1,0.334164023399353,0.26466819643974304,0.8523698449134827,0.9044288992881775
2,0.2686702013015747,0.23532114923000336,0.8997669219970703,0.9067599177360535
3,0.22597920894622803,0.21237240731716156,0.9052059054374695,0.9090909361839294
4,0.2229747474193573,0.20555973052978516,0.9075369238853455,0.9020978808403015
5,0.20646901428699493,0.19496800005435944,0.9114218950271606,0.9207459092140198
6,0.20013459026813507,0.18611527979373932,0.9059829115867615,0.9114218950271606
7,0.18738529086112976,0.1813105344772339,0.9191918969154358,0.9137529134750366
8,0.20581567287445068,0.1777111440896988,0.9098678827285767,0.9230769276618958
9,0.21139734983444214,0.17342539131641388,0.9083139300346375,0.9207459092140198
10,0.2048122137784958,0.17158997058868408,0.9090909361839294,0.9160839319229126
11,0.21107135713100433,0.17265695333480835,0.9090909361839294,0.9184148907661438
12,0.21756640076637268,0.1667589694261551,0.9028748869895935,0.9160839319229126
13,0.23414771258831024,0.1628040373325348,0.9083139300346375,0.9184148907661438
14,0.24535129964351654,0.16418689489364624,0.9005439281463623,0.9160839319229126
15,0.2734220027923584,0.16220499575138092,0.8958818912506104,0.9230769276618958
16,0.2492476850748062,0.16606663167476654,0.9028748869895935,0.9230769276618958
17,0.26282578706741333,0.16199490427970886,0.8989899158477783,0.9207459092140198
18,0.25773563981056213,0.15628553926944733,0.9067599177360535,0.9184148907661438
19,0.27169716358184814,0.15304164588451385,0.9044288992881775,0.9277389049530029
20,0.31481295824050903,0.15361003577709198,0.8982129096984863,0.9254079461097717
21,0.3288639783859253,0.1598852574825287,0.8919969201087952,0.9230769276618958
22,0.31591734290122986,0.15637370944023132,0.8935508728027344,0.9254079461097717
23,0.3288760781288147,0.15595319867134094,0.8935508728027344,0.9207459092140198
24,0.3299458622932434,0.1635560244321823,0.9005439281463623,0.9160839319229126
25,0.38462790846824646,0.16495965421199799,0.8958818912506104,0.9160839319229126
26,0.3303309381008148,0.15915954113006592,0.9044288992881775,0.9254079461097717
27,0.3627593517303467,0.16302382946014404,0.8927738666534424,0.9207459092140198
