,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
578,40.192326,42.8,27.869808,26.73,1.3528123,1.53,9.557193,8.97,10.61896,10.59,301.13947,304.0,3.5481725,3.49,216.36275,220.0
2135,33.5549,32.8,38.948776,36.98,1.2009869,0.77,8.284436,8.07,10.789021,10.21,426.48395,427.2,2.311891,1.72,402.47913,403.8
1282,63.657623,65.9,18.3117,18.78,3.1418898,3.01,10.932319,11.48,12.667843,13.56,294.7233,296.5,5.3877897,5.05,242.39597,241.8
1743,39.14003,38.9,33.285225,33.83,1.7788643,1.0,8.708732,9.19,10.908307,11.6,372.47107,375.6,3.2674427,2.35,335.8621,341.5
1854,60.061558,59.7,20.167904,20.87,2.7664795,2.42,9.789615,10.2,12.28778,12.58,339.35303,336.8,4.2079816,3.88,321.64066,317.9
1499,53.361973,51.1,24.777481,25.87,2.5247374,1.81,10.045414,10.43,12.022636,12.57,329.9829,324.2,4.6055737,3.52,285.41614,281.4
1510,53.22421,53.2,24.303421,25.65,2.6432838,1.91,9.959246,10.78,11.842954,13.09,321.77402,321.4,4.611316,3.58,276.27457,277.4
1522,31.347225,32.0,32.678043,34.42,0.057652757,0.82,8.574114,7.85,9.810537,9.64,373.7886,376.6,1.7198471,2.42,323.3778,324.6
746,38.571297,36.3,28.17373,29.97,1.0932895,1.08,9.230049,9.03,10.578837,9.94,307.1988,310.5,3.2017984,3.42,225.07109,227.7
1280,64.55853,65.7,18.373402,18.91,3.1686113,3.02,11.093269,11.33,12.8123865,13.44,298.61618,298.1,5.5051413,5.0,247.34122,246.3
773,40.63229,38.6,28.653442,29.47,1.4839109,1.21,9.723237,9.43,10.6887455,10.43,306.81598,306.7,3.7387109,3.49,223.97908,225.4
2140,35.103878,32.9,38.774544,37.96,1.3537915,0.78,8.499202,8.19,10.991977,10.31,424.94904,425.2,2.5252814,1.71,398.62552,400.0
2106,45.195942,45.0,29.185974,29.0,1.9786365,1.4,8.723987,9.19,11.131419,11.49,376.1335,374.3,3.0737615,2.69,357.96365,357.6
1333,36.495255,37.2,31.184093,33.5,1.1803892,1.02,9.132207,9.48,10.44523,11.02,334.1817,337.8,3.4103236,3.34,270.31903,270.5
1106,51.154655,49.8,23.915066,24.06,2.1551032,1.91,10.347115,10.36,11.701691,11.77,301.86438,302.3,4.608782,4.49,232.44687,237.7
2066,56.23408,56.9,22.130634,22.0,2.620932,2.25,9.443508,9.9,11.808442,12.27,347.6479,349.6,3.83844,3.54,333.1345,336.0
1729,35.88883,38.1,33.26811,33.99,1.272228,0.99,8.510812,9.07,10.475082,11.37,371.83496,377.3,2.8572888,2.26,334.11115,341.4
1939,37.87759,37.9,34.803154,35.03,1.6456425,0.96,8.521896,9.1,10.881179,11.36,391.5393,391.5,2.949182,2.2,362.851,361.7
1604,62.40745,63.3,15.828107,16.04,2.018871,3.01,10.215311,9.39,12.294142,11.61,327.3942,328.2,3.7255068,4.61,300.94647,304.2
1657,62.972733,62.9,18.852543,20.4,3.0696445,2.63,10.306841,10.77,12.609004,13.28,319.41666,322.7,4.8674936,3.89,289.417,296.4
1857,60.258205,60.3,19.970312,20.85,2.8527386,2.45,9.767846,10.3,12.259771,12.69,336.23904,336.0,4.2706833,3.9,318.77682,317.0
1123,50.998978,51.4,24.041645,23.72,2.3142903,2.01,10.336107,10.7,11.599186,12.16,297.3565,299.5,4.753065,4.56,227.88367,232.6
1674,61.756516,62.6,19.639088,20.38,2.9964461,2.59,10.274706,10.68,12.418681,13.21,324.01044,323.0,4.6943913,3.95,294.34512,297.6
1414,70.60948,70.5,14.59762,14.58,3.0780766,3.52,11.289763,10.76,13.379587,12.91,306.19058,306.5,5.3014803,4.96,266.132,267.1
1951,55.55339,52.3,17.918413,15.0,0.7957021,2.53,9.44578,7.22,11.4595,9.29,368.43274,367.1,1.7818148,5.06,355.08084,354.0
1314,51.941444,53.7,24.127272,24.22,2.5130627,2.04,10.046565,10.8,11.696211,12.81,309.49484,308.9,4.7098856,4.43,254.7244,253.1
1133,35.30979,34.9,30.469566,31.8,0.43882966,1.0,8.97631,8.44,10.717987,10.01,336.9736,335.3,2.7398252,3.28,262.58447,260.7
1060,59.381878,59.6,18.83765,18.33,2.3433526,2.76,10.880944,10.45,12.389297,12.03,292.15256,293.9,4.8912034,5.32,226.66711,228.6
1649,59.965378,59.2,18.868587,20.78,2.4399369,2.45,10.129212,10.12,12.222394,12.44,326.39252,327.7,4.27421,3.84,297.7031,302.4
1700,51.059,51.0,24.941618,26.76,2.4906423,1.73,9.366501,10.21,11.54826,12.67,336.9178,339.6,4.114226,3.13,306.82806,310.9
1958,65.591934,63.5,14.948645,14.0,2.101205,3.23,10.1564045,8.68,12.551956,10.88,347.25592,350.1,3.4028754,5.09,336.6033,339.1
913,51.35016,52.6,22.625996,22.32,2.1568975,2.21,10.289232,10.6,11.548959,11.89,288.6396,292.6,4.5102882,5.21,214.32652,216.5
1906,50.083977,50.5,25.77399,26.87,2.3684676,1.68,9.175771,10.18,11.413227,12.54,350.8971,350.7,3.7169085,3.07,327.5581,326.4
1127,51.350437,50.6,24.00687,23.79,2.312379,1.96,10.38324,10.6,11.630072,11.97,299.94717,300.6,4.767227,4.53,232.20549,235.6
1848,56.825546,57.6,20.510866,20.93,2.2897344,2.32,9.555286,9.85,11.907627,12.16,341.77792,339.8,3.7488751,3.87,323.25812,320.7
1033,70.71669,71.2,15.093374,13.42,3.160922,3.8,11.829558,11.02,13.562591,12.53,287.11984,289.7,5.776612,5.9,223.85242,226.1
1712,50.72102,51.4,24.7423,26.63,2.4660442,1.74,9.386895,10.31,11.385271,12.8,334.00763,338.8,4.0555124,3.13,302.95764,310.2
1518,51.36314,51.9,24.511965,25.85,2.4868307,1.83,9.718094,10.55,11.546599,12.76,322.8829,323.0,4.345579,3.6,279.93365,280.4
1727,34.35733,36.7,33.55557,34.24,0.95317554,0.94,8.438099,8.72,10.291665,10.94,378.05762,381.9,2.5077343,2.18,340.925,347.4
767,40.426407,38.7,28.538477,29.44,1.4386071,1.21,9.673301,9.42,10.670023,10.43,306.26865,306.9,3.6761408,3.47,223.20824,225.9
1652,61.857353,60.6,18.537035,20.65,2.7433789,2.52,10.239201,10.36,12.434276,12.74,323.3132,325.9,4.5872803,3.85,295.60022,300.7
