,Maximum Pressure(predicted),Maximum Pressure,Crank Angle at Maximum Pressure(predicted),Crank Angle at Maximum Pressure,Maximum Rate of Pressure Rise(predicted),Maximum Rate of Pressure Rise,BMEP(predicted),BMEP,IMEP(predicted),IMEP,BSFC(predicted),BSFC,BSNOx(predicted),BSNOx,BSCO(predicted),BSCO
1527,33.15867,33.7,32.925495,34.13,0.48213497,0.87,8.636254,8.34,10.192936,10.11,370.2121,368.5,2.2603774,2.56,320.2585,317.3
1840,52.496967,53.9,20.828037,21.98,1.6129098,2.14,9.328791,9.29,11.26656,11.54,344.4416,344.6,3.0043073,3.78,323.09744,322.4
1073,62.244305,60.8,18.699762,18.71,2.7521164,2.82,11.2198305,10.85,12.653768,12.26,291.6162,292.6,5.322964,5.24,226.90155,230.5
1144,39.05459,39.4,30.64429,30.99,1.4479295,1.19,9.426682,9.75,10.989402,11.2,321.3713,321.5,3.8655062,3.73,244.88615,247.0
709,48.476738,47.6,22.828451,22.77,1.7280695,1.88,10.067529,9.7,11.194329,10.77,287.9462,292.8,3.971568,4.38,208.90907,212.0
1708,51.693768,51.8,24.778275,26.54,2.518951,1.76,9.53292,10.43,11.588881,12.93,334.57742,337.8,4.1639423,3.13,300.91696,308.5
1089,61.264214,60.3,18.643072,18.64,2.764253,2.79,11.031219,10.84,12.404041,12.17,289.49884,292.5,5.2080135,5.32,227.56161,230.3
1542,39.605614,39.3,32.635326,33.42,1.7886674,1.07,9.041392,9.55,10.996984,11.62,355.8385,353.8,3.6315708,2.7,306.30704,304.9
736,49.226284,49.1,23.517578,22.81,1.9328742,1.98,10.302846,9.96,11.26861,11.04,289.87625,290.9,4.2346,4.45,210.14824,210.0
557,39.52917,41.8,27.829275,27.31,1.2004449,1.47,9.3186035,8.89,10.694874,10.41,302.6303,304.6,3.299045,3.26,217.07349,220.1
1456,62.78012,62.0,18.42682,19.81,2.8734267,2.69,10.662633,10.83,12.636489,13.01,308.1988,310.3,5.031355,4.29,265.3564,269.3
972,41.53932,42.1,28.46406,29.23,1.7367736,1.42,9.639054,10.15,10.756447,11.21,307.15662,308.1,4.0107803,4.6,231.90588,229.3
1511,52.595356,52.5,24.071796,25.75,2.6224384,1.87,9.826822,10.65,11.677074,12.91,320.23682,322.4,4.5608635,3.57,277.80804,279.6
1847,57.231144,58.1,20.021309,20.92,2.3469853,2.35,9.587235,9.95,11.86708,12.3,337.8231,339.2,3.8394256,3.79,319.8564,320.1
1346,39.358685,40.9,32.1639,31.95,1.8222159,1.19,9.386366,10.04,10.942938,11.84,335.3809,332.6,4.0832095,3.45,271.77,269.5
1155,39.291275,38.7,30.786911,31.6,1.6106251,1.15,9.468743,9.73,10.860112,11.0,321.63763,322.4,3.956452,3.7,248.28249,252.0
1470,63.387474,62.8,18.933945,19.81,3.1025198,2.71,10.679249,10.93,12.677097,13.16,311.26685,310.0,5.15596,4.32,271.3793,271.2
1090,61.41446,62.0,18.96597,18.54,2.8178766,2.91,11.074931,11.04,12.473267,12.53,289.81567,291.1,5.24699,5.23,225.88513,227.5
1259,63.803947,61.7,17.88501,19.02,2.8000858,2.75,11.068016,10.84,12.83835,12.72,299.69257,301.0,5.3031793,4.96,246.48259,249.0
756,39.245136,38.1,28.306892,29.46,1.2962654,1.18,9.30115,9.23,10.5954895,10.27,305.90335,308.1,3.3719888,3.49,224.52081,226.1
1316,53.297554,53.9,23.577753,24.87,2.6460085,2.04,10.201369,10.95,11.802238,12.94,305.93134,308.4,4.9137936,4.3,250.7719,253.1
1299,50.205307,50.2,24.172834,25.07,2.0747814,1.84,9.931642,10.34,11.617914,12.13,313.73615,312.0,4.3548613,4.37,257.29022,255.1
1911,49.173973,49.4,26.266497,26.9,2.2839065,1.62,9.083409,9.93,11.3396015,12.25,354.6349,353.2,3.5713067,3.1,331.969,330.8
769,40.875874,39.0,28.330873,29.29,1.5292375,1.23,9.742234,9.54,10.700046,10.52,302.3515,305.0,3.8351798,3.64,218.25508,220.7
876,61.112022,61.5,18.270147,17.13,2.5463312,3.04,11.015109,10.56,12.473984,11.84,288.4344,289.5,4.9419556,5.7,220.9323,219.8
966,41.142387,41.8,28.59786,29.27,1.6926749,1.41,9.589051,10.11,10.736528,11.17,307.71277,308.2,3.9463992,4.59,232.05249,229.4
903,44.203022,47.0,24.611668,23.34,1.339248,1.87,9.559663,9.38,10.892572,10.8,301.54047,300.2,3.5286202,4.71,229.11717,226.8
950,38.700897,40.4,28.87256,29.75,1.3721117,1.33,9.268457,9.7,10.584298,10.95,307.30704,311.2,3.5851274,4.24,229.11143,231.8
1278,62.835674,65.4,18.606798,18.24,3.036387,3.01,10.878436,11.18,12.587732,13.3,298.01224,298.9,5.3171153,5.11,247.55118,247.1
1675,62.15195,63.6,19.206522,20.22,3.043634,2.65,10.3017235,10.95,12.410659,13.5,319.50766,321.4,4.738842,3.88,288.37735,295.4
1347,39.604813,40.9,31.569185,32.09,1.7901692,1.19,9.287383,9.93,10.913279,11.76,334.51572,333.0,3.954555,3.53,272.63727,270.0
1919,30.24255,31.9,36.148567,35.86,0.17570502,0.76,8.159172,7.66,9.9675045,9.73,415.0691,416.0,1.3699099,1.92,385.97467,385.7
1860,61.18136,60.7,20.118547,20.83,2.9233134,2.47,9.934149,10.37,12.399429,12.76,338.46216,335.4,4.373901,3.91,320.00897,316.4
1662,61.887287,62.1,19.157907,20.49,2.9973438,2.58,10.1804285,10.58,12.434308,13.07,321.82562,323.9,4.729475,3.92,294.2864,298.8
1359,40.148632,41.7,31.0312,32.09,1.9105657,1.23,9.242553,10.04,10.8277445,11.95,331.38846,332.2,3.96763,3.54,271.9571,270.0
871,60.466084,62.1,18.30809,17.13,2.513138,3.08,10.989435,10.64,12.417313,12.05,283.96976,287.6,4.9574513,5.73,213.25543,214.5
1065,60.513287,58.8,18.943966,18.28,2.4837413,2.69,10.933523,10.42,12.545507,11.85,296.2285,295.0,4.971174,5.25,233.25438,233.5
761,40.24737,38.6,28.510847,29.39,1.3916092,1.21,9.622775,9.39,10.679369,10.41,306.63434,307.1,3.6082034,3.48,223.30931,225.9
1412,67.928535,67.1,14.747981,14.82,2.7044592,3.31,11.013142,10.28,13.042488,12.31,308.69366,310.2,4.9075475,4.94,270.57602,272.7
2054,56.043255,55.9,22.248026,22.0,2.5919197,2.2,9.31667,9.78,11.8731575,12.13,350.4615,350.7,3.7788272,3.52,337.95178,336.8
1080,62.073616,60.2,18.69264,18.67,2.7701085,2.78,11.157899,10.81,12.5962715,12.14,291.7391,292.7,5.285923,5.32,228.41168,230.6
2042,50.03225,50.8,22.60835,23.0,1.755748,1.92,8.838198,9.12,11.06076,11.29,352.81613,357.3,2.9257317,3.43,340.53845,342.7
738,48.863083,48.3,23.332865,23.07,1.8527635,1.92,10.124722,9.72,11.215285,10.87,292.51373,294.0,4.031192,4.18,215.86661,218.4
874,61.547127,62.9,18.08028,16.96,2.6207535,3.14,11.105975,10.83,12.526484,12.17,283.57294,286.9,5.091623,5.83,213.1416,213.0
1348,39.98054,41.2,31.325619,32.55,1.9069804,1.2,9.366085,10.2,10.894119,11.99,328.69296,330.9,4.131647,3.49,265.11255,265.3
2142,36.54717,33.3,38.37276,36.99,1.4131147,0.78,8.578045,8.08,11.15507,10.27,428.17004,425.9,2.5256157,1.81,403.78293,402.8
743,37.484753,34.6,27.872036,30.65,0.89797616,0.98,9.016554,8.75,10.459128,9.58,306.95053,313.5,2.952602,3.31,225.78171,229.7
1480,63.106743,65.0,18.813463,19.6,3.1119523,2.84,10.6482525,11.24,12.569515,13.62,307.8802,307.8,5.0809655,4.31,266.1139,267.2
1560,41.103565,40.1,31.877659,33.35,1.9079078,1.09,9.189145,9.7,11.01063,11.84,353.7625,352.4,3.704956,2.74,305.4391,303.5
1559,40.688595,40.7,31.96882,33.24,1.9129096,1.12,9.1844635,9.81,10.934855,12.02,352.01843,351.6,3.7469969,2.74,303.4302,302.6
664,57.86865,53.6,18.79887,18.11,1.938176,2.44,10.81436,9.43,12.256495,10.47,291.1622,291.5,4.283656,4.69,215.35875,216.8
577,40.607822,42.8,27.78925,27.18,1.3798202,1.53,9.648902,9.01,10.700334,10.68,299.5656,303.0,3.664247,3.57,213.22931,216.2
1953,54.859367,52.1,18.38363,15.0,0.7472434,2.53,9.300257,7.02,11.48693,9.13,372.053,370.7,1.6946656,5.19,359.985,358.8
714,48.25901,47.6,23.339464,23.01,1.7211316,1.87,9.958561,9.58,11.250267,10.72,294.037,294.6,3.8419476,4.18,216.98314,218.2
1602,55.72717,57.2,17.325584,16.4,1.2552274,2.65,9.532914,8.43,11.538178,10.55,336.38422,337.2,2.6786575,4.71,310.3723,312.3
2038,48.77051,48.4,22.846443,24.0,1.4829526,1.8,8.872144,8.88,10.891702,10.95,355.3555,359.3,2.6517143,3.41,340.06046,342.1
1550,39.828327,40.6,32.285496,33.26,1.9063872,1.12,9.047182,9.79,10.884704,11.98,351.3855,351.8,3.7404346,2.71,303.27896,302.8
1838,48.71218,50.0,21.73893,22.0,1.0534841,1.95,8.97715,8.58,10.872082,10.75,354.65884,352.9,2.2881522,3.72,334.39246,332.6
943,37.42812,39.2,28.904991,29.47,1.0034311,1.27,9.027851,9.32,10.693121,10.75,311.9279,313.3,3.2268248,4.08,232.13686,230.3
550,39.50739,40.9,27.730919,27.25,1.1196162,1.39,9.321337,8.82,10.755672,10.31,302.7352,304.4,3.2524858,3.23,215.64935,215.2
1868,61.7666,61.9,19.845245,20.8,2.9986942,2.54,10.039315,10.59,12.375212,13.01,335.94925,333.9,4.4506254,3.86,316.86914,315.0
1875,33.552605,34.9,30.057735,28.87,-0.3790737,1.02,8.115202,6.97,9.749769,8.98,399.4508,397.1,0.59812117,2.46,373.3973,375.4
1257,59.315273,59.3,18.707682,19.26,2.362981,2.61,10.524715,10.42,12.337022,12.25,302.31015,303.3,4.70026,5.09,250.3399,250.2
1711,51.32551,51.8,24.71123,26.53,2.494145,1.76,9.490274,10.44,11.5027,12.94,333.3883,337.8,4.1161366,3.12,299.8405,308.6
945,36.72425,38.2,29.049194,29.67,0.9346734,1.21,8.845307,9.1,10.610507,10.45,315.3663,315.9,3.0327902,3.98,238.48373,236.4
1665,62.01199,62.4,19.266396,20.45,3.0149693,2.59,10.222279,10.63,12.445853,13.14,322.4944,323.5,4.7397013,3.92,294.5205,298.5
718,49.553497,48.9,23.329105,22.74,1.8999344,1.97,10.274213,9.9,11.368274,11.01,290.54498,291.2,4.178573,4.46,210.32393,210.1
723,48.368423,48.3,23.517162,23.02,1.7806008,1.92,10.038465,9.69,11.229215,10.85,293.75638,294.1,3.9274492,4.17,216.37642,218.6
1545,39.819088,39.6,32.37872,33.39,1.8459406,1.08,9.019625,9.61,10.968289,11.71,353.51935,353.2,3.6629114,2.72,304.61813,304.3
1317,51.553684,53.8,23.870571,24.22,2.5102696,2.05,9.947392,10.82,11.575665,12.84,306.85254,308.8,4.6579537,4.43,253.1466,253.1
760,40.92874,38.9,28.546003,29.24,1.4813713,1.23,9.740542,9.51,10.796067,10.5,305.35654,305.4,3.7672668,3.62,220.3537,221.4
1355,39.74455,41.6,31.298298,31.95,1.9250292,1.22,9.278102,10.14,10.796201,12.0,329.7406,331.7,4.0679684,3.47,269.0546,269.0
1112,51.68767,50.3,24.04283,23.92,2.270698,1.94,10.434663,10.52,11.754403,11.89,301.43555,301.2,4.7432747,4.53,231.78313,236.5
933,52.72574,53.2,22.305965,22.13,2.285319,2.26,10.406994,10.7,11.614117,11.85,291.68295,293.4,4.6182256,5.3,221.68587,220.1
934,54.398914,54.7,21.81592,21.92,2.4496596,2.35,10.623957,11.08,11.815835,12.2,287.0041,291.0,4.9004335,5.43,214.44586,214.7
